"","cohort","mouse","day","protein"
"579",53,"mouse4","pair3",14.02108915
"580",53,"mouse4","day1",9.28462232
"581",53,"mouse4","day12",10.27644253
"582",54,"mouse4","day3",10.02818631
"583",54,"mouse4","day6",8.843502139
"584",54,"mouse4","day7",8.489037939
"585",54,"mouse4","pair1",9.165646382
"586",54,"mouse4","day9",8.588499335
"587",54,"mouse4","day5",9.704757007
"588",54,"mouse4","pair3",8.545616751
"589",54,"mouse4","day1",9.185832003
"590",54,"mouse4","day15",13.08783357
"591",54,"mouse4","pair2",2.124342055
"592",54,"mouse4","day11",8.260228523
"593",54,"mouse4","day2",9.616864141
"594",54,"mouse4","day4",9.864307966
"595",54,"mouse4","day13",12.69051749
"596",54,"mouse4","day19",13.30904687
"597",54,"mouse4","day17",11.65225225
"598",55,"mouse4","day5",9.830985333
"599",55,"mouse4","day4",8.767452317
"600",55,"mouse4","day6",10.08598729
"601",55,"mouse4","day9",11.47636114
"602",55,"mouse4","day1",9.684027839
"603",55,"mouse4","day7",7.89066506
"604",55,"mouse4","pair3",NA
"605",55,"mouse4","pair2",NA
"606",55,"mouse4","day11",NA
"607",55,"mouse4","pair1",NA
"608",55,"mouse4","day15",9.614687956
"609",55,"mouse4","day17",10.40700104
"610",55,"mouse4","day13",NA
"611",55,"mouse4","day3",8.354090062
"612",55,"mouse4","day2",9.7258847
"613",55,"mouse4","day19",13.84757002
"614",56,"mouse4","day2",11.81349123
"615",56,"mouse4","pair1",6.610050028
"616",56,"mouse4","day3",11.658013
"617",56,"mouse4","day4",10.00670975
"618",56,"mouse4","pair2",3.124049608
"619",56,"mouse4","pair3",9.712221229
"620",56,"mouse4","day1",10.51616101
"621",56,"mouse4","day7",9.831042944
"622",56,"mouse4","day9",10.36223257
"623",56,"mouse4","day5",8.594814269
"624",56,"mouse4","day6",11.02319649
"625",56,"mouse4","day19",17.84572068
"626",56,"mouse4","day13",14.32984396
"627",56,"mouse4","day15",16.11078968
"628",56,"mouse4","day11",10.14437304
"629",56,"mouse4","day17",15.6278514
"630",57,"mouse4","pair2",8.89395069149742
"631",57,"mouse4","pair3",9.39335352978377
"632",57,"mouse4","pair1",11.9789668507864
"633",57,"mouse4","day11",9.63780394767689
"634",57,"mouse4","day3",9.57400328468126
"635",57,"mouse4","day13",8.77094439595105
"636",57,"mouse4","day1",9.28194151416809
"637",57,"mouse4","day2",9.83833309778843
"638",57,"mouse4","day9",8.68495937699031
"639",57,"mouse4","day5",9.29140059132243
"640",57,"mouse4","day15",8.63994277634134
"641",57,"mouse4","day17",8.32902807103295
"642",57,"mouse4","day19",9.95958013920428
"643",57,"mouse4","day6",9.08064754094192
"644",57,"mouse4","day4",8.3662491130856
"645",57,"mouse4","day7",8.76654898925182
"646",58,"mouse4","day13",8.21275803374797
"647",58,"mouse4","pair1",7.43079024123783
"648",58,"mouse4","day19",8.96935660336002
"649",58,"mouse4","day9",9.22495707797588
"650",58,"mouse4","pair2",8.09012224218101
"651",58,"mouse4","pair3",7.45488565644151
"652",58,"mouse4","day1",9.57319888089091
"653",58,"mouse4","day15",8.49329604996647
"654",58,"mouse4","day17",9.01871596247067
"655",58,"mouse4","day6",8.24400797479604
"656",58,"mouse4","day7",8.11743312693964
"657",58,"mouse4","day5",6.62359349995788
"658",58,"mouse4","day2",8.59895515816292
"659",58,"mouse4","day11",7.9145185672341
"660",58,"mouse4","day4",6.98258248184323
"661",58,"mouse4","day3",4.96215758598393
"662",53,"mouse5","day9",9.024681615
"663",53,"mouse5","day10",6.629873377
"664",53,"mouse5","day6",7.367885633
"665",53,"mouse5","day3",10.15145446
"666",53,"mouse5","day4",8.987932583
"667",53,"mouse5","day7",9.104751478
"668",53,"mouse5","pair1",8.31223725
"669",53,"mouse5","pair2",7.820351838
"670",53,"mouse5","day17",10.42828602
"671",53,"mouse5","day19",10.15257413
"672",53,"mouse5","day5",11.01268624
"673",53,"mouse5","day1",8.883835027
"674",53,"mouse5","day11",10.0545745
"675",53,"mouse5","day12",6.8061505
"676",53,"mouse5","day13",7.025644082
"677",53,"mouse5","day2",10.09792883
"678",53,"mouse5","day15",9.329700764
"679",53,"mouse5","pair3",14.24467343
"680",53,"mouse5","day14",7.178795402
"681",54,"mouse5","day2",9.783669312
"682",54,"mouse5","day3",9.323473248
"683",54,"mouse5","day1",9.468926146
"684",54,"mouse5","day17",14.27278499
"685",54,"mouse5","day5",8.688690356
"686",54,"mouse5","pair2",7.006290934
"687",54,"mouse5","day4",8.792881296
"688",54,"mouse5","day7",8.423998502
"689",54,"mouse5","pair3",10.41461379
"690",54,"mouse5","day6",8.798259286
"691",54,"mouse5","day19",14.52700011
"692",54,"mouse5","day9",9.035323787
"693",54,"mouse5","day11",8.370716509
"694",54,"mouse5","day13",13.20023343
"695",54,"mouse5","pair1",5.840168898
"696",54,"mouse5","day15",14.78140487
"697",55,"mouse5","day4",10.10741868
"698",55,"mouse5","day3",9.517621053
"699",55,"mouse5","day2",7.510500971
"700",55,"mouse5","day19",8.069519453
"701",55,"mouse5","day5",9.642274135
"702",55,"mouse5","day6",9.957990169
"703",55,"mouse5","day1",10.85394792
"704",55,"mouse5","day17",8.046026833
"705",55,"mouse5","pair1",NA
"706",55,"mouse5","day7",8.987353485
"707",55,"mouse5","day13",9.713289901
"708",55,"mouse5","day9",12.19399512
"709",55,"mouse5","pair3",NA
"710",55,"mouse5","day11",9.688624531
"711",55,"mouse5","day15",10.75519267
"712",55,"mouse5","pair2",NA
"713",56,"mouse5","day4",9.783181249
"714",56,"mouse5","day19",13.97586735
"715",56,"mouse5","day3",11.11790616
"716",56,"mouse5","pair3",10.18136856
"717",56,"mouse5","day6",10.11198788
"718",56,"mouse5","day1",12.1269201
"719",56,"mouse5","day2",11.97172835
"720",56,"mouse5","pair2",6.803490914
"721",56,"mouse5","day17",13.16993834
"722",56,"mouse5","day15",13.79164385
"723",56,"mouse5","day7",9.780434912
"724",56,"mouse5","day5",9.810856162
"725",56,"mouse5","pair1",3.26255779
"726",56,"mouse5","day11",8.928929247
"727",56,"mouse5","day13",14.30561417
"728",56,"mouse5","day9",8.413365981
"729",57,"mouse5","pair1",9.22197592030657
"730",57,"mouse5","day19",9.14209121918373
"731",57,"mouse5","day1",8.62297245857227
"732",57,"mouse5","day15",7.65796400735273
"733",57,"mouse5","pair3",6.05968396885473
"734",57,"mouse5","day11",7.94232020915984
"735",57,"mouse5","day13",7.35589548493848
"736",57,"mouse5","day17",7.40781072268554
"737",57,"mouse5","pair2",6.486147966498
"738",57,"mouse5","day4",7.94507947957984
"739",57,"mouse5","day2",9.21280578276153
"740",57,"mouse5","day3",9.34304498965894
"741",57,"mouse5","day7",7.64043098102266
"742",57,"mouse5","day9",7.78366449262099
"743",57,"mouse5","day6",7.94507947957984
"744",57,"mouse5","day5",8.46246770500005
"745",58,"mouse5","pair2",4.87964867264761
"746",58,"mouse5","day5",7.64699419172921
"747",58,"mouse5","day13",9.12018893010204
"748",58,"mouse5","day17",8.35043681122009
"749",58,"mouse5","day6",8.75145828352075
"750",58,"mouse5","pair1",7.23886360483508
"751",58,"mouse5","day2",9.26439309127699
"752",58,"mouse5","day19",8.8807555417728
"753",58,"mouse5","day7",10.069247172135
"754",58,"mouse5","day15",8.49850268960593
"755",58,"mouse5","day4",7.97168858351409
"756",58,"mouse5","day11",8.28609041103665
"757",58,"mouse5","pair3",8.23102795963336
"758",58,"mouse5","day1",8.72454915335231
"759",58,"mouse5","day9",8.50590276169175
"760",58,"mouse5","day3",8.08757560137648
"761",53,"mouse6","pair2",11.11449354
"762",53,"mouse6","pair3",21.08635234
"763",53,"mouse6","day1",10.59168843
"764",53,"mouse6","day5",11.18022676
"765",53,"mouse6","day19",10.44470455
"766",53,"mouse6","day3",10.87792802
"767",53,"mouse6","day4",10.32554383
"768",53,"mouse6","day12",8.200358547
"769",53,"mouse6","pair1",5.405641634
"770",53,"mouse6","day13",7.266149341
"771",53,"mouse6","day14",11.0867375
"772",53,"mouse6","day15",9.460803914
"773",53,"mouse6","day17",10.461147
"774",53,"mouse6","day2",11.3890176
"775",53,"mouse6","day7",10.9781914
"776",53,"mouse6","day11",15.92920214
"777",53,"mouse6","day10",7.810067766
"778",53,"mouse6","day6",10.79569868
"779",53,"mouse6","day9",8.265366535
"780",54,"mouse6","day5",7.720505466
"781",54,"mouse6","day6",8.301774488
"782",54,"mouse6","pair2",3.2675984
"783",54,"mouse6","day15",12.69095829
"784",54,"mouse6","pair3",5.611367975
"785",54,"mouse6","day7",7.624592346
"786",54,"mouse6","day2",8.914280183
"787",54,"mouse6","day3",9.719083671
"788",54,"mouse6","day4",8.086846433
"789",54,"mouse6","day1",7.794433217
"790",54,"mouse6","pair1",2.068375809
"791",54,"mouse6","day9",8.063012913
"792",54,"mouse6","day11",7.463453385
"793",54,"mouse6","day17",10.57753963
"794",54,"mouse6","day19",13.42983958
"795",54,"mouse6","day13",12.7926579
"796",55,"mouse6","pair1",3.641277996
"797",55,"mouse6","day3",10.52018932
"798",55,"mouse6","day4",9.270952766
"799",55,"mouse6","day1",8.987353485
"800",55,"mouse6","day19",12.02128782
"801",55,"mouse6","day2",10.19343082
"802",55,"mouse6","day7",9.148878608
"803",55,"mouse6","day9",10.90449507
"804",55,"mouse6","day5",10.15036717
"805",55,"mouse6","day6",7.322103908
"806",55,"mouse6","pair2",11.46257112
"807",55,"mouse6","pair3",12.98130617
"808",55,"mouse6","day13",10.1834968
"809",55,"mouse6","day15",10.58104444
"810",55,"mouse6","day17",10.55617308
"811",55,"mouse6","day11",6.580860223
"812",56,"mouse6","day2",9.783803041
"813",56,"mouse6","day3",10.04909512
"814",56,"mouse6","pair2",2.658164899
"815",56,"mouse6","day5",9.680922215
"816",56,"mouse6","pair3",5.741766364
"817",56,"mouse6","pair1",3.531602358
"818",56,"mouse6","day4",9.974642646
"819",56,"mouse6","day11",9.147929543
"820",56,"mouse6","day6",11.139123
"821",56,"mouse6","day1",7.907451232
"822",56,"mouse6","day9",8.456338783
"823",56,"mouse6","day13",11.10441577
"824",56,"mouse6","day15",13.40223847
"825",56,"mouse6","day17",13.78851896
"826",56,"mouse6","day19",14.15307355
"827",56,"mouse6","day7",10.19608241
"828",57,"mouse6","day13",8.22962425779868
"829",57,"mouse6","day11",8.78941561061291
"830",57,"mouse6","day1",8.77140945909675
"831",57,"mouse6","pair3",8.68081733125416
"832",57,"mouse6","day4",8.3662491130856
"833",57,"mouse6","day2",9.03210819912191
"834",57,"mouse6","pair2",7.65464050415647
"835",57,"mouse6","day3",9.00665390130636
"836",57,"mouse6","day17",7.9142025351203
"837",57,"mouse6","day5",8.79101577890388
"838",57,"mouse6","day7",8.51114965837374
"839",57,"mouse6","day9",8.11170105831275
"840",57,"mouse6","pair1",8.77314081538191
"841",57,"mouse6","day15",7.78664573892499
"842",57,"mouse6","day19",9.42721916032618
"843",57,"mouse6","day6",7.89936749226492
"844",58,"mouse6","day7",8.73415878875384
"845",58,"mouse6","pair1",8.3743515947555
"846",58,"mouse6","day6",8.49122937305801
"847",58,"mouse6","day2",8.78404800046534
"848",58,"mouse6","pair2",7.66907312309759
"849",58,"mouse6","day1",9.32888925962107
"850",58,"mouse6","day15",9.38350202749283
"851",58,"mouse6","day3",8.3973304219326
"852",58,"mouse6","day5",8.11847304767489
"853",58,"mouse6","pair3",8.30532276868381
"854",58,"mouse6","day17",9.18267261066399
"855",58,"mouse6","day19",8.95658483509113
"856",58,"mouse6","day13",9.1627588233373
"857",58,"mouse6","day9",9.16196195304903
"858",58,"mouse6","day11",9.15318966147984
"859",58,"mouse6","day4",7.4857890846753
"860",53,"mouse7","pair1",5.912432664
"861",53,"mouse7","day10",NA
"862",53,"mouse7","day11",NA
"863",53,"mouse7","day12",NA
"864",53,"mouse7","day3",10.59050881
"865",53,"mouse7","day9",NA
"866",53,"mouse7","day4",9.054262274
"867",53,"mouse7","day5",10.85586308
"868",53,"mouse7","day2",10.35641673
"869",53,"mouse7","pair2",15.94391394
"870",53,"mouse7","day7",10.9975187
"871",53,"mouse7","day19",NA
"872",53,"mouse7","day1",6.645062626
"873",53,"mouse7","day15",NA
"874",53,"mouse7","pair3",12.57524415
"875",53,"mouse7","day17",NA
"876",53,"mouse7","day6",8.562727471
"877",53,"mouse7","day14",NA
"878",53,"mouse7","day13",NA
"879",54,"mouse7","pair1",3.072165378
"880",54,"mouse7","day5",9.047525855
"881",54,"mouse7","pair2",1.265708541
"882",54,"mouse7","pair3",9.874846852
"883",54,"mouse7","day1",7.471205382
"884",54,"mouse7","day15",14.49841481
"885",54,"mouse7","day9",7.998701798
"886",54,"mouse7","day4",9.156055331
"887",54,"mouse7","day13",12.51622701
"888",54,"mouse7","day17",10.88143089
"889",54,"mouse7","day19",15.32321956
"890",54,"mouse7","day11",8.577649866
"891",54,"mouse7","day2",9.74650716
"892",54,"mouse7","day7",8.383384016
"893",54,"mouse7","day3",9.441406164
"894",54,"mouse7","day6",8.67383862
"895",55,"mouse7","day4",11.10341988
"896",55,"mouse7","day15",9.787342441
"897",55,"mouse7","pair1",6.058859693
"898",55,"mouse7","pair2",12.42488567
"899",55,"mouse7","day3",10.89900271
"900",55,"mouse7","day7",10.60848815
"901",55,"mouse7","day9",10.75519267
"902",55,"mouse7","pair3",12.08774141
"903",55,"mouse7","day6",11.92597412
"904",55,"mouse7","day17",9.737964823
"905",55,"mouse7","day11",9.027086048
"906",55,"mouse7","day13",10.43185536
"907",55,"mouse7","day1",8.767452317
"908",55,"mouse7","day2",11.10341988
"909",55,"mouse7","day5",11.4972814
"910",55,"mouse7","day19",10.90449507
"911",56,"mouse7","day4",9.891796544
"912",56,"mouse7","day15",20.56346145
"913",56,"mouse7","day5",10.69971696
"914",56,"mouse7","day2",10.94730529
"915",56,"mouse7","day3",11.25379195
"916",56,"mouse7","day1",10.69803335
"917",56,"mouse7","day13",12.49559768
"918",56,"mouse7","day7",10.35169512
"919",56,"mouse7","day9",NA
"920",56,"mouse7","pair1",4.719769755
"921",56,"mouse7","pair2",4.7889955
"922",56,"mouse7","day17",10.70764635
"923",56,"mouse7","day11",7.927539131
"924",56,"mouse7","day6",NA
"925",56,"mouse7","day19",25.06429055
"926",56,"mouse7","pair3",8.825530755
"927",57,"mouse7","day19",8.3480374684792
"928",57,"mouse7","pair2",4.13661111843964
"929",57,"mouse7","day5",8.19242822671338
"930",57,"mouse7","pair3",5.96545057714654
"931",57,"mouse7","day1",7.53333474877961
"932",57,"mouse7","day2",7.93494458308044
"933",57,"mouse7","pair1",5.23804469216055
"934",57,"mouse7","day4",7.45218585206519
"935",57,"mouse7","day11",7.81968353670246
"936",57,"mouse7","day6",7.68856182954931
"937",57,"mouse7","day3",7.13633132053808
"938",57,"mouse7","day9",7.34142345730921
"939",57,"mouse7","day13",7.22776659612045
"940",57,"mouse7","day17",7.32762265088965
"941",57,"mouse7","day7",7.68290128418488
"942",57,"mouse7","day15",7.2999514870702
"943",58,"mouse7","day5",8.23798870410429
"944",58,"mouse7","day4",8.07713565970794
"945",58,"mouse7","day1",8.58925820531266
"946",58,"mouse7","day2",8.85520719316808
"947",58,"mouse7","day13",8.84082982354496
"948",58,"mouse7","day15",8.58225168565892
"949",58,"mouse7","day6",8.11271273826467
"950",58,"mouse7","pair3",5.78892171166145
"951",58,"mouse7","pair1",7.48243308634089
"952",58,"mouse7","day7",9.23506543359395
"953",58,"mouse7","day17",9.22246814368447
"954",58,"mouse7","day3",8.73939900814519
"955",58,"mouse7","pair2",6.4368634356037
"956",58,"mouse7","day19",8.91850014458749
"957",58,"mouse7","day9",9.27056511395111
"958",58,"mouse7","day11",8.2707330335215
"959",53,"mouse8","day14",9.198839488
"960",53,"mouse8","day4",9.373156821
"961",53,"mouse8","pair2",5.256585448
"962",53,"mouse8","pair3",9.907138434
"963",53,"mouse8","day15",9.614103755
"964",53,"mouse8","pair1",0.6358437
"965",53,"mouse8","day19",8.367696562
"966",53,"mouse8","day3",8.734757184
"967",53,"mouse8","day5",9.929640546
"968",53,"mouse8","day17",8.738999689
"969",53,"mouse8","day12",4.817601516
"970",53,"mouse8","day7",9.431831587
"971",53,"mouse8","day9",8.720594039
"972",53,"mouse8","day1",9.065453129
"973",53,"mouse8","day2",9.824458108
"974",53,"mouse8","day11",10.45484869
"975",53,"mouse8","day10",4.86431917
"976",53,"mouse8","day6",9.91425935
"977",53,"mouse8","day13",7.178795402
"978",54,"mouse8","day7",8.096247068
"979",54,"mouse8","day15",13.6730601
"980",54,"mouse8","pair1",2.323493831
"981",54,"mouse8","day17",9.586310644
"982",54,"mouse8","day6",8.114769546
"983",54,"mouse8","day4",8.890317366
"984",54,"mouse8","day13",12.22019641
"985",54,"mouse8","day1",8.152251704
"986",54,"mouse8","day5",7.911152173
"987",54,"mouse8","day11",7.861057138
"988",54,"mouse8","pair3",8.837130361
"989",54,"mouse8","day9",7.550166147
"990",54,"mouse8","day19",14.52700011
"991",54,"mouse8","pair2",1.842466704
"992",54,"mouse8","day3",8.333924167
"993",54,"mouse8","day2",9.276844481
"994",55,"mouse8","day3",9.128611556
"995",55,"mouse8","day7",9.684027839
"996",55,"mouse8","pair1",0.813324993
"997",55,"mouse8","day2",10.87645867
"998",55,"mouse8","day6",11.12630438
"999",55,"mouse8","day13",10.1834968
"1000",55,"mouse8","day1",9.66313816
"1001",55,"mouse8","pair3",6.425057844
"1002",55,"mouse8","day11",7.604604232
"1003",55,"mouse8","day4",10.36685892
"1004",55,"mouse8","day5",9.7258847
"1005",55,"mouse8","day19",8.833091255
"1006",55,"mouse8","day9",NA
"1007",55,"mouse8","day17",8.857281275
"1008",55,"mouse8","pair2",7.188181434
"1009",55,"mouse8","day15",9.688624531
"1010",56,"mouse8","day5",10.74330036
"1011",56,"mouse8","day11",8.854809431
"1012",56,"mouse8","pair1",6.052914979
"1013",56,"mouse8","day4",11.15827847
"1014",56,"mouse8","day1",11.23584673
"1015",56,"mouse8","day19",14.06413617
"1016",56,"mouse8","day6",12.79516554
"1017",56,"mouse8","day7",9.771486585
"1018",56,"mouse8","day9",9.213376371
"1019",56,"mouse8","pair3",9.218158802
"1020",56,"mouse8","day13",10.21075885
"1021",56,"mouse8","day2",10.75756605
"1022",56,"mouse8","day3",10.92805321
"1023",56,"mouse8","day17",6.705140793
"1024",56,"mouse8","day15",13.29850347
"1025",56,"mouse8","pair2",2.852811262
"1026",57,"mouse8","day5",7.86900261387863
"1027",57,"mouse8","pair3",4.41876224457468
"1028",57,"mouse8","day15",6.350464369023
"1029",57,"mouse8","day17",6.43164261397122
"1030",57,"mouse8","day19",7.92653478588028
"1031",57,"mouse8","day4",5.13144386619875
"1032",57,"mouse8","day3",8.54956834116943
"1033",57,"mouse8","day13",5.89643508271446
"1034",57,"mouse8","day11",7.10009231364622
"1035",57,"mouse8","day2",7.78642417386451
"1036",57,"mouse8","pair2",3.83945866113756
"1037",57,"mouse8","day9",7.17606228277031
"1038",57,"mouse8","day7",6.6422022908168
"1039",57,"mouse8","day6",7.33557100406791
"1040",57,"mouse8","day1",5.9096466098861
"1041",57,"mouse8","pair1",4.74130566080968
"1042",58,"mouse8","day4",7.91970158182139
"1043",58,"mouse8","day3",8.73933331690276
"1044",58,"mouse8","pair1",7.35299444073726
"1045",58,"mouse8","day2",8.73939900814519
"1046",58,"mouse8","day13",8.84683154421488
"1047",58,"mouse8","day15",7.64200109365784
"1048",58,"mouse8","day1",5.84300717599707
"1049",58,"mouse8","pair3",5.00514224503662
"1050",58,"mouse8","day19",8.50883640615179
"1051",58,"mouse8","day7",8.40467586872545
"1052",58,"mouse8","pair2",2.85003866618659
"1053",58,"mouse8","day5",9.04479013731583
"1054",58,"mouse8","day11",8.13342102985254
"1055",58,"mouse8","day9",9.03806589031531
"1056",58,"mouse8","day6",8.58083465954637
"1057",58,"mouse8","day17",9.126686158535
"1058",53,"mouse9","pair2",15.94391394
"1059",53,"mouse9","pair1",3.318855038
"1060",53,"mouse9","day11",18.28684584
"1061",53,"mouse9","day12",9.438935305
"1062",53,"mouse9","day10",7.766654895
"1063",53,"mouse9","day1",11.34507025
"1064",53,"mouse9","day2",11.47586795
"1065",53,"mouse9","day4",11.05769372
"1066",53,"mouse9","pair3",17.44938142
"1067",53,"mouse9","day9",9.570263186
"1068",53,"mouse9","day15",11.75595368
"1069",53,"mouse9","day17",10.89790566
"1070",53,"mouse9","day19",10.72769278
"1071",53,"mouse9","day14",11.89659694
"1072",53,"mouse9","day5",9.411389537
"1073",53,"mouse9","day13",10.49958622
"1074",53,"mouse9","day7",9.532607502
"1075",53,"mouse9","day3",10.10219728
"1076",53,"mouse9","day6",10.07105946
"1077",54,"mouse9","day7",8.279752517
"1078",54,"mouse9","day2",9.396375225
"1079",54,"mouse9","day9",8.351874849
"1080",54,"mouse9","day5",8.976510253
"1081",54,"mouse9","day6",8.545081503
"1082",54,"mouse9","pair2",3.957783016
"1083",54,"mouse9","day1",9.051440656
"1084",54,"mouse9","day13",12.61461889
"1085",54,"mouse9","pair1",2.473596222
"1086",54,"mouse9","day15",15.99912919
"1087",54,"mouse9","day11",7.89181875
"1088",54,"mouse9","day4",8.446238399
"1089",54,"mouse9","pair3",8.98125712
"1090",54,"mouse9","day19",16.4804897
"1091",54,"mouse9","day17",12.09153977
"1092",54,"mouse9","day3",9.295117985
"1093",55,"mouse9","day1",10.71957499
"1094",55,"mouse9","day6",9.435014772
"1095",55,"mouse9","day4",10.85394792
"1096",55,"mouse9","day2",10.71957499
"1097",55,"mouse9","day9",11.52600956
"1098",55,"mouse9","day5",10.56427596
"1099",55,"mouse9","day19",9.812044696
"1100",55,"mouse9","pair3",5.876169734
"1101",55,"mouse9","pair1",2.414036775
"1102",55,"mouse9","pair2",4.469418619
"1103",55,"mouse9","day17",11.74918177
"1104",55,"mouse9","day7",9.393857089
"1105",55,"mouse9","day3",10.34507629
"1106",55,"mouse9","day15",9.713289901
"1107",55,"mouse9","day11",11.82347102
"1108",55,"mouse9","day13",10.90449507
"1109",56,"mouse9","day4",9.455931924
"1110",56,"mouse9","day2",10.57031196
"1111",56,"mouse9","day3",12.72452613
"1112",56,"mouse9","day1",9.08991454
"1113",56,"mouse9","day19",14.54632639
"1114",56,"mouse9","day5",10.25506276
"1115",56,"mouse9","day6",10.15080856
"1116",56,"mouse9","day17",12.68312463
"1117",56,"mouse9","day7",7.960493012
"1118",56,"mouse9","pair1",4.866852077
"1119",56,"mouse9","pair2",3.234520291
"1120",56,"mouse9","pair3",7.39789777
"1121",56,"mouse9","day15",13.5810947
"1122",56,"mouse9","day9",8.864299347
"1123",56,"mouse9","day11",10.27858042
"1124",56,"mouse9","day13",14.28726325
"1125",57,"mouse9","day19",8.68503133612677
"1126",57,"mouse9","pair2",5.93133920990828
"1127",57,"mouse9","pair3",8.80954234946248
"1128",57,"mouse9","day1",8.73818248079663
"1129",57,"mouse9","pair1",8.82024648760134
"1130",57,"mouse9","day7",6.90252918370313
"1131",57,"mouse9","day9",7.73873251210204
"1132",57,"mouse9","day11",7.80691295270432
"1133",57,"mouse9","day13",8.07188879351518
"1134",57,"mouse9","day15",7.30546451115754
"1135",57,"mouse9","day17",7.86059687384142
"1136",57,"mouse9","day4",7.16232529735103
"1137",57,"mouse9","day5",7.19107194555776
"1138",57,"mouse9","day2",9.49412108531065
"1139",57,"mouse9","day3",9.31703399699727
"1140",57,"mouse9","day6",7.97566626602149
"1141",58,"mouse9","day17",9.20685233187052
"1142",58,"mouse9","day19",8.8807555417728
"1143",58,"mouse9","day6",7.97337432394566
"1144",58,"mouse9","day7",9.5847620882742
"1145",58,"mouse9","day9",8.94031514296423
"1146",58,"mouse9","day11",9.77563278714698
"1147",58,"mouse9","day13",9.62689065520387
"1148",58,"mouse9","day15",9.49610691048928
"1149",58,"mouse9","pair1",7.65426966971759
"1150",58,"mouse9","pair2",6.28914792982198
"1151",58,"mouse9","pair3",7.75476325998766
"1152",58,"mouse9","day1",8.74909773436036
"1153",58,"mouse9","day2",8.96532244575572
"1154",58,"mouse9","day3",8.92811657791124
"1155",58,"mouse9","day4",8.07190775464933
"1156",58,"mouse9","day5",8.23905240059543
